Product_code,Vendor_code,Name,Retail_price,Base_unit,Country_of_Origin,ABV,Size
5132,AF Brew,Fake Mock Tail Part 2 0.33,250,Pieces,Russia,5.3,0.121-3
20,,Fantome,,,,,0.121-3
319,Fantome,"Fantome / Fantome Saison / saison / 8,0%",1200,Liters,Belgium,8,0.121-3
4557,Fantome,Fantome Another F'tome BRICK for Didier 0.75,1420,Pieces,Belgium,7.5,0.121-3
1604,Fantome,Fantome Brise Bonbons,1000,Pieces,Belgium,8,0.121-3
4364,Fantome,Fantome Burning Sky 0.75,1550,Pieces,Belgium,6.7,0.121-3
376,Fantome,"Fantome Dark White / belgian ale / 4,7% / 0,75  but",700,Pieces,Belgium,4.7,0.121-3
949,Fantome,"Fantome Magic Ghost / belgian strong / 8% / 0,75 but",850,Pieces,Belgium,8,0.121-3
3136,Fantome,Fantome Pissenlit Barrel20,1440,Liters,Belgium,8,0.121-3
1379,Fantome,Fantome Printemps Barrel 30l,1200,Liters,Belgium,8,0.121-3
177,Fantome,"Fantome Saison / saison / 8% / 0,75 / but",1050,Pieces,Belgium,8,0.121-3
3527,Fantome,Fantome Saison 0.75,1400,Pieces,Belgium,8,0.121-3
3283,Fantome,Fantome Saison Barrel20,1480,Liters,Belgium,8,0.121-3
4365,Fantome,Fantome Saison Eukanot & Mosaic 0.75,1550,Pieces,Belgium,7.3,0.121-3
623,Fantome,"Fantome Tonton Robert / saison / 8% / 0,75",850,Pieces,Belgium,8,0.121-3
624,Fantome,"Fantome Tous les D'iapes / belgian strong / 8% / 0,75",1100,Pieces,Belgium,8,0.121-3
1795,Fantome,Fantome Vertignasse /Fantom Vertignas,1200,Pieces,Belgium,4.5,0.121-3
2948,FFF Brew,FFF Grab Fog Can SChITAT' KAK 0.0!!!!!!!!,8484.85,Liters,Russia,4.9,0.121-3
4819,FFF Brew,FFF Hit The Road / Raspberry Kush Barrel,680,Liters,Russia,6,0.121-3
3039,FFF Brew,FFF Jamevu 0.33,300,Pieces,Russia,4.4,0.121-3
4695,FFF Brew,FFF Keep In Touch / VSE Can 0.33,330,Pieces,Russia,4.3,0.435
4820,FFF Brew,FFF Keep In Touch Barrel,600,Liters,Russia,5.5,0.45
4701,FFF Brew,FFF Raspberry Kush Barrel,680,Liters,Russia,6.5,0.453
4039,FFF Brew,FFF Sector Gose / Acid Mango / 0.33,300,Pieces,Russia,6,0.474
2947,FFF Brew,FFF Sit Down Pils 0.Can SChITAT' KAK 0.33,900,Liters,Russia,6,0.475
2084,Zagovor,FFF Win Or Grave / ZAGOVOR BITTER END SChITAT' PO 0.33,900,Pieces,Russia,6.5,0.476
4697,FFF Brew,FFF x Midnight Project - Keep In Touch 0.33,300,Pieces,Russia,6.7,1.476
4698,FFF Brew,FFF x Midnight Project - Keep In Touch Barrel,600,Liters,Russia,6.7,2.476
2097,FFF Brew,FFF Neft' / Kanpai Can 0.33,300,Pieces,Russia,6,1.3
1163,FFF Brew,FFF Ptichka Moja Barrel20,600,Liters,Russia,6.2,2.1
3099,,Finback,,,,,0.265
3102,Finback,Finback Definitely Seriously 0.48,1450,Pieces,USA,8.2,0.755
3104,Finback,Finback Floating Weightless 0.5 Bottle,1700,Pieces,USA,6.5,0.753
3101,Finback,Finback Once Twice Three Times A Wale 0.48,1450,Pieces,USA,8.2,0.121-3
3100,Finback,"Finback People Power 0,48",1450,Pieces,USA,7.3,0.121-3
3105,Finback,Finback x Voodoo Brewery - Hazy Afternoon 0.48,1450,Pieces,USA,5.5,0.121-3
3103,Finback,Finback Zero Point 0.48,1450,Pieces,USA,6,0.121-3
2053,,Finland1,,,,,0.121-3
5082,,Finland,,,,,0.121-3
2217,Firestone Walker,Firestone Walker,,,USA,,0.121-3
4857,Firestone Walker,Firestone Walker 20Helldorado Vintage 0.75,1600,Pieces,USA,11.8,0.121-3
2222,Firestone Walker,Firestone Walker 8/ Can 0.355,300,Pieces,USA,4.7,0.121-3
2557,Firestone Walker,"Firestone Walker Anninversary Ale Vintage 200,355 KOROBKA",1100,Pieces,USA,11.8,0.121-3
2489,Firestone Walker,"Firestone Walker Bravo 0,355",1000,Pieces,USA,13.2,0.121-3
4855,Firestone Walker,Firestone Walker Bretta Blanc 0.375,1300,Pieces,USA,8.9,0.121-3
2591,Firestone Walker,"Firestone Walker Bretta Rose 0,375",1200,Pieces,USA,5.3,0.121-3
3946,Firestone Walker,Firestone Walker Bretta Tangerine 0.375,1200,Pieces,USA,6.2,0.121-3
2657,Firestone Walker,"Firestone Walker Bretta Weisse 0,375",1200,Pieces,USA,4.7,0.121-3
2219,Firestone Walker,Firestone Walker DBA Double Barrel Ale / 0.355,300,Pieces,USA,5,0.121-3
2213,Firestone Walker,Firestone Walker Easy Jack IPA Barrel,920,Liters,USA,4.5,0.121-3
2220,Firestone Walker,"Firestone Walker Easy Jack IPA Can / Union Jack 0,355",300,Pieces,USA,4.5,0.121-3
2490,Firestone Walker,"Firestone Walker Helldorado 0,355",1000,Pieces,USA,12.8,0.121-3
2488,Firestone Walker,"Firestone Walker Krieky Bones 0,375",1250,Pieces,USA,6.3,0.121-3
2223,Firestone Walker,Firestone Walker Leo vs. Ursus Wookus / Can 0.473,400,Pieces,USA,8.2,0.121-3
